,categories,name,prices,site,url
2294,['sativa'],Grapefruit,"[['28 Grams', '220'], ['14 Grams', '115'], ['7 Grams', '66'], ['3.5 Grams', '36']]",greensociety.ca,https://www.greensociety.ca/product/grapefruit/
2295,['indica'],El Jefe,"[['28 Grams', '220'], ['3.5 Grams', '33'], ['14 Grams', '115'], ['7 Grams', '60']]",greensociety.ca,https://www.greensociety.ca/product/el-jefe/
2296,['hybrid'],White Cookies,"[['3.5 Gram', '33'], ['14 Gram', '110'], ['28 Gram', '180'], ['7 Grams', '60']]",greensociety.ca,https://www.greensociety.ca/product/white-cookies/
2297,['hybrid'],Sour Scout,"[['28 Grams', '220'], ['3.5 Grams', '33'], ['14 Grams', '115'], ['7 Grams', '60']]",greensociety.ca,https://www.greensociety.ca/product/sour-scout/
2298,['sativa'],Super Silver Haze,"[['28 Grams', '200'], ['14 Grams', '115'], ['7 Grams', '64'], ['3.5 Grams', '32']]",greensociety.ca,https://www.greensociety.ca/product/super-silver-haze/
2300,['indica'],Blueberry,"[['28 Gram', '180'], ['3.5 Gram', '33'], ['14 Gram', '115'], ['7 Gram', '62']]",greensociety.ca,https://www.greensociety.ca/product/blueberry/
2301,['indica'],OG Kush,"[['28 Gram', '140'], ['14 Gram', '110'], ['7 Gram', '60'], ['3.5 Gram', '32']]",greensociety.ca,https://www.greensociety.ca/product/og-kush/
2302,['hybrid'],Cotton Candy,"[['28 Grams', '180'], ['14 Grams', '100'], ['7 Grams', '60'], ['3.5 Grams', '33']]",greensociety.ca,https://www.greensociety.ca/product/cotton-candy/
2303,['indica'],Blue God,"[['28 Grams', '240'], ['3.5 Grams', '40'], ['14 Grams', '130'], ['7 Grams', '70']]",greensociety.ca,https://www.greensociety.ca/product/blue-god/
2304,['hybrid'],The White,"[['28 Gram', '250'], ['3.5 Gram', '40'], ['14 Gram', '130'], ['7 Gram', '70']]",greensociety.ca,https://www.greensociety.ca/product/the-white/
2308,['hybrid'],Big Buddha Cheese,"[['28 Grams', '240'], ['3.5 Grams', '35'], ['14 Grams', '125'], ['7 Grams', '65']]",greensociety.ca,https://www.greensociety.ca/product/big-buddha-cheese/
2315,['hybrid'],Darth Vader OG,"[['28 Gram', '270'], ['3.5 Gram', '38'], ['14 Gram', '140'], ['7 Gram', '75']]",greensociety.ca,https://www.greensociety.ca/product/darth-vader-og/
2322,"['flower', 'hybrid']",Nirvana (Green House),"[['gram', '6.00'], ['28 grams', '130.00']]",greenz.ca,https://greenz.ca/product/nirvana-outdoor/
2323,"['flower', 'hybrid', 'indica']",Purple God,"[['gram', '12.00'], ['28 grams', '260.00']]",greenz.ca,https://greenz.ca/product/purple-god/
2324,"['flower', 'hybrid']",Blue Coma,"[['gram', '10.00'], ['28 grams', '200.00']]",greenz.ca,https://greenz.ca/product/blue-coma/
2325,"['flower', 'sativa']",Dutch Hawaiian,"[['gram', '12.00'], ['28 grams', '260.00']]",greenz.ca,https://greenz.ca/product/dutch-hawaiian/
2327,"['flower', 'indica']",Gassy Rockstar,"[['gram', '10.00'], ['28 grams', '220.00']]",greenz.ca,https://greenz.ca/product/rockstar-3/
2328,"['flower', 'hybrid']",Gelato Smalls,"[['gram', '5.00']]",greenz.ca,https://greenz.ca/product/gelato-smalls/
2329,"['flower', 'sativa']",Green Crack,"[['gram', '10.00'], ['28 grams', '220.00']]",greenz.ca,https://greenz.ca/product/green-crack-2/
2330,"['flower', 'indica']",Quad Pink Kush,"[['gram', '13.00'], ['28 grams', '275.00']]",greenz.ca,https://greenz.ca/product/quad-pink-kush-2/
2335,"['flower', 'hybrid']",Alien OG,"[['gram', '10.00'], ['28 grams', '200.00']]",greenz.ca,https://greenz.ca/product/alien-og/
2339,"['flower', 'sativa']",Grapefruit,"[['gram', '9.00'], ['28 grams', '190.00']]",greenz.ca,https://greenz.ca/product/grapefruit-kush-limited-batch/
2343,"['flower', 'indica']",Quad MK Ultra,"[['gram', '13.00'], ['28 grams', '275.00']]",greenz.ca,https://greenz.ca/product/gassy-mk-ultra/
2346,"['flower', 'indica']",Quad Mendo Breath,"[['gram', '12.00'], ['28 grams', '260.00']]",greenz.ca,https://greenz.ca/product/mendo-breath-2/
2349,"['flower', 'indica']",Hindu Kush,"[['gram', '7.00'], ['28 grams', '175.00']]",greenz.ca,https://greenz.ca/product/hindu-kush-4/
2354,"['flower', 'hybrid']",Blue Glue,"[['gram', '11.00'], ['28 grams', '230.00']]",greenz.ca,https://greenz.ca/product/blue-glue/
2355,"['flower', 'hybrid']",Love Potion #1,"[['gram', '11.00'], ['28 grams', '230.00']]",greenz.ca,https://greenz.ca/product/love-potion-1-4/
2363,"['flower', 'indica']",Chemo,"[['gram', '10.00'], ['28 grams', '220.00']]",greenz.ca,https://greenz.ca/product/chemo/
2364,"['flower', 'hybrid']",Lemon Skunk Smalls,"[['gram', '6.00'], ['28 grams', '150.00']]",greenz.ca,https://greenz.ca/product/lemon-skunk-smalls/
2367,"['flower', 'hybrid']",Lemon Sour Diesel,"[['gram', '12.00'], ['28 grams', '260.00']]",greenz.ca,https://greenz.ca/product/lemon-sour-diesel/
