,categories,name,prices,site,url
723,['living soil organics'],L.S.O. Romulan,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/LSO-Romulan
724,['living soil organics'],L.S.O. Blueberry Grapefruit,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/LSO-Blueberry-Grapefruit
725,['living soil organics'],L.S.O. AK-47,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/LSO-AK47
726,['living soil organics'],L.S.O. Astroboy Watermelon,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/LSO-Astroboy-Watermelon
727,['living soil organics'],L.S.O. King Tut,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/LSO-King-Tut
728,['hybrid'],Blue Rhino,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Blue-Rhino
729,['indica'],Purple Candy Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Purple-Candy-Kush
730,['hybrid'],1oz Trainwreck Deal,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/1oz-Alien-Deal-125
731,['indica'],1oz Gorilla Glue 4,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/1oz-Purple-Candy-110
732,['hybrid'],1oz Alien Deal,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/1oz-Alien-Deal-115
733,['indica'],1oz Violator Deal,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/1oz-Violator-Deal-99
734,['indica'],Purple Berry,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Purple-Berry
735,['indica'],Purple Punch,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Purple-Punch
736,['indica'],Hash Plant,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Hash-Plant
737,['sativa'],Sweet Berlin,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Sweet-Berlin
738,['hybrid'],Dark Angel,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Dark-Angel
739,['indica'],Mendo Breath,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Mendo-Breath
740,['hybrid'],Duke Nukem,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Duke-Nukem
741,['hybrid'],Jager Bomb,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Jager-Bomb
742,['hybrid'],Game Changer,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Game-Changer
743,['indica'],Death Star,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Death-Star
744,['hybrid'],Dairy Queen,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Dairy-Queen
745,['hybrid'],White Russian,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/White-Russian
746,['indica'],Black Gas,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Black-Gas
747,['sativa'],Amnesia Haze,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Amnesia-Haze
748,['sativa'],Strawberry,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Strawberry
749,['indica'],Pink Kush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Pink-Kush
750,['indica'],Burmese Blueberry,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Burmese-Blueberry
751,['sativa'],BlueBerry Dream,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/BlueBerry-Dream
752,['sativa'],Hawaiian Punch,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Hawaiian-Punch
753,['sativa'],Candyland,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Candyland
754,['sativa'],Citrus Skunk sativa,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Citrus-Skunk-sativa
755,['hybrid'],Gorilla Panic,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Gorilla-Panic
756,['indica'],Blueberry Chemo,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Blueberry-Chemo
757,['sativa'],Great White Shark,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Great-White-Shark
758,['sativa'],Strawberry Cough,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Strawberry-Couch
759,['indica'],Island Pink,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Island-Pink
760,['sativa'],Kali Mist,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/kali-Mist
761,['hybrid'],SeaWeed Outdoor,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/SeaWarp
762,['sativa'],Mango,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Mango
763,['hybrid'],Sherbet,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Sherbet
764,['indica'],Training Day,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Training-Day
765,['hybrid'],Tea Time,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Tea-Tree
766,['indica'],Nuken,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Nuken
767,['sativa'],Sour Lemonade,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Sour-Lemonade
768,['indica'],Purple Skunk,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Purple-Skunk
769,['indica'],Purple White Lightning,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Purple-White-Lightining
770,['indica'],Darth vader,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Blueberry
771,['indica'],Grape God,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Grape-Ape
772,['sativa'],Orange Crush,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Orange-Crush
773,['sativa'],Megalodon,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Megalodon
774,['sativa'],Hawaiian,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Hawaiian
775,['sativa'],Gods Green Crack Ultra,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Gods-Green-Crack-Ultra
776,['sativa'],G Code,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/G-Code
777,['hybrid'],Sweet Cheeb,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Sweet-Cheeb
778,['hybrid'],Bilbo,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Bilbo
779,['hybrid'],Dutch Treat,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Dutch-Treat
780,['hybrid'],Crazy Glue,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Crazy-Glue
781,['sativa'],Congo,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Congo
782,['hybrid'],Banana Cookies Organic,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/banana-cookies-hybrid-organic-flower
783,['indica'],Honey Kush Indica,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Honey_Kush-Indica
784,['indica'],Dark Knight,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Dark_Knight
785,['hybrid'],Lindsay OG,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Lindsay_OG
786,['sativa'],Chiesel Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/Chiesel-Hybrid
787,['hybrid'],White Rhino,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/white-rhino-flower
788,['hybrid'],Ricki New GSC Hybrid,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/ricki-new-gsc-hybrid-flower
789,['hybrid'],Tom Ford,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/tom-ford-strain
790,['hybrid'],King Louie XIII,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/king-louie-flower
791,['indica'],Sugar Cookies,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/sugar-cookies-flower
792,['sativa'],Blue Dream,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/blue-dream-flower
793,['hybrid'],Cherry Bomb,"[['', 'out of stock']]",cheebas.ca,https://cheebas.ca/cherry-bomb-flower
