,categories,name,prices,site,url
112,['shatter'],OSUKA EXTRACTS – PURPLE SAMURAI (INDICA),"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/osuka-extracts-purple-samurai-indica/
113,['tinctures / topicals'],10mg Lip Balm – Miss Envy,"[['', '5']]",budexpressnow.ca,https://www.budexpressnow.ca/product/10mg-lip-balm-miss-envy/
114,['shatter'],OSUKA EXTRACTS – PANDA COOKIES (HYBRID),"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/osuka-extracts-panda-cookies-hybrid/
115,['accessories'],Hand Grinder – Gunmetal,"[['', '29.99']]",budexpressnow.ca,https://www.budexpressnow.ca/product/hand-grinder-gunmetal/
116,['vapes'],Sovrin Battery and Charger Pack,"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/sovrin-battery-and-charger-pack/
117,['tinctures / topicals'],500mg THC Tincture – Miss Envy,"[['', '45']]",budexpressnow.ca,https://www.budexpressnow.ca/product/500mg-thc-tincture-miss-envy/
118,['accessories'],Juicy Jay’s Flavored Rolling Papers – Candy Cane (1 1/4 SIZE),"[['', '3.25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/juicy-jays-flavored-rolling-papers-candy-cane-1-1-4-size/
119,['tinctures / topicals'],1:1 CBD-THC Tincture – Miss Envy,"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/300mg-cbd-tincture-miss-envy/
120,['accessories'],Juicy Jay’s Flavored Rolling Papers – Root Beer (1 1/4 SIZE),"[['', '3.25']]",budexpressnow.ca,https://www.budexpressnow.ca/product/juicy-jays-flavored-rolling-papers-root-beer-1-1-4-size/
121,['shatter'],ROS ORGANICS Shatter – Red Congo (Sativa),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-red-congo-sativa/
122,['edibles'],Ed & Bills – Worms (200mg),"[['', '30']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ed-bills-worms-200mg/
123,['e-juice'],KangarTech SubVod – C Starter Kit,"[['', '34.99']]",budexpressnow.ca,https://www.budexpressnow.ca/product/kangertech-top-evod-vaporizer-kit/
124,['shatter'],ROS ORGANICS Shatter – Fat Banana (Hybrid),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-fat-banana-hybrid/
125,['shatter'],OSUKA EXTRACTS – HARAJUKU HAZE (HYBRID),"[['', '50']]",budexpressnow.ca,https://www.budexpressnow.ca/product/osuka-extracts-harajuku-haze-hybrid/
126,['vapes'],QNTM Rechargeable Disposable Distillate Vape Pens,"[['', '45']]",budexpressnow.ca,https://www.budexpressnow.ca/product/qntm-rechargeable-disposable-distillate-vape-pens/
127,['accessories'],Hand Grinder – Black/Rose Gold,"[['', '29.99']]",budexpressnow.ca,https://www.budexpressnow.ca/product/hand-grinder-black-rose-gold/
128,['shatter'],ROS ORGANICS Shatter – Blue Ice (Indica),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-blue-ice-indica/
129,['vapes'],Bloom Battery Pack,"[['', '35']]",budexpressnow.ca,https://www.budexpressnow.ca/product/bloom-battery-pack/
130,['accessories'],Hand Grinder – Pure Black,"[['', '29.99']]",budexpressnow.ca,https://www.budexpressnow.ca/product/hand-grinder-pure-black/
131,['shatter'],ROS ORGANICS Shatter – Wedding Cake (Hybrid),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-wedding-cake-hybrid/
132,['tinctures / topicals'],Delush – Whipped Body Butter – 300mg CBD,"[['', '35']]",budexpressnow.ca,https://www.budexpressnow.ca/product/delush-whipped-body-butter-300mg-cbd/
133,['shatter'],ROS ORGANICS Shatter – MK Ultra (Indica),"[['', '40']]",budexpressnow.ca,https://www.budexpressnow.ca/product/ros-organics-shatter-mk-ultra-indica/
134,['accessories'],4 Layer PVC Storage Hand Grinder – White,"[['', '7.99']]",budexpressnow.ca,https://www.budexpressnow.ca/product/4-layer-pvc-storage-hand-grinder-white/
135,['accessories'],V12 PLUS – TWISTY BLUNT BUBBLER KIT,"[['', '50.00']]",budexpressnow.ca,https://www.budexpressnow.ca/product/v12-plus-twisty-blunt-bubbler-kit/
